sample start (ns), sample end (ns), package-0 (J), core (J), dram (J), amdgpu-pci-0300#power1_average (W), integrated amdgpu-pci-0300#power1_average (J),
1704475965832426669, 1704475965932907891, 2.347773, 1.981746, 0.132934, 7.000000, 0.700000, 
1704475965932907891, 1704475966033258392, 1.300533, 0.943967, 0.120727, 7.000000, 0.700000, 
1704475966033258392, 1704475966133580534, 0.653014, 0.302367, 0.107910, 6.000000, 0.600000, 
1704475966133580534, 1704475966232765452, 0.523436, 0.177551, 0.103699, 6.000000, 0.600000, 
1704475966232765452, 1704475966333136737, 0.567748, 0.212219, 0.107543, 6.000000, 0.600000, 
1704475966333136737, 1704475966433539463, 0.571409, 0.223022, 0.109192, 6.000000, 0.600000, 
1704475966433539463, 1704475966532785271, 0.535399, 0.188476, 0.103821, 6.000000, 0.600000, 
1704475966532785271, 1704475966633145913, 0.550658, 0.196471, 0.104186, 6.000000, 0.600000, 
1704475966633145913, 1704475966733496493, 0.543395, 0.194580, 0.105469, 6.000000, 0.600000, 
1704475966733496493, 1704475966832687913, 0.533629, 0.186523, 0.105529, 6.000000, 0.600000, 
1704475966832687913, 1704475966933006489, 0.543760, 0.188659, 0.105469, 6.000000, 0.600000, 
1704475966933006489, 1704475967033373392, 0.567504, 0.218688, 0.107543, 6.000000, 0.600000, 
1704475967033373392, 1704475967133714400, 0.564391, 0.215637, 0.106262, 6.000000, 0.600000, 
1704475967133714400, 1704475967233007560, 0.545836, 0.194214, 0.103150, 6.000000, 0.600000, 
1704475967233007560, 1704475967333427335, 0.561399, 0.213134, 0.111205, 7.000000, 0.700000, 
1704475967333427335, 1704475967433765678, 0.621154, 0.271667, 0.111572, 8.000000, 0.800000, 
1704475967433765678, 1704475967533168781, 0.594236, 0.244262, 0.108826, 8.000000, 0.800000, 
1704475967533168781, 1704475967633525384, 0.629454, 0.279540, 0.110839, 8.000000, 0.800000, 
1704475967633525384, 1704475967732789472, 0.526732, 0.180847, 0.103394, 7.000000, 0.700000, 
1704475967732789472, 1704475967833204468, 0.537902, 0.183044, 0.104369, 6.000000, 0.600000, 
1704475967833204468, 1704475967933585551, 0.549803, 0.200561, 0.108643, 6.000000, 0.600000, 
1704475967933585551, 1704475968032799888, 0.552245, 0.205749, 0.102600, 6.000000, 0.600000, 
1704475968032799888, 1704475968133238614, 0.549437, 0.195556, 0.107238, 6.000000, 0.600000, 
1704475968133238614, 1704475968233499310, 0.551329, 0.202148, 0.108764, 6.000000, 0.600000, 
1704475968233499310, 1704475968332769362, 0.544921, 0.198058, 0.107178, 6.000000, 0.600000, 
1704475968332769362, 1704475968433125858, 0.635008, 0.282287, 0.114257, 7.000000, 0.700000, 
1704475968433125858, 1704475968533499338, 0.614439, 0.264526, 0.117371, 8.000000, 0.800000, 
1704475968533499338, 1704475968632679580, 0.634032, 0.288756, 0.106811, 8.000000, 0.800000, 
1704475968632679580, 1704475968733019133, 0.564451, 0.214294, 0.106506, 7.000000, 0.700000, 
1704475968733019133, 1704475968833380162, 0.553099, 0.197815, 0.105102, 7.000000, 0.700000, 
1704475968833380162, 1704475968932664574, 0.529479, 0.183959, 0.103821, 6.000000, 0.600000, 
1704475968932664574, 1704475969033086187, 0.569701, 0.215454, 0.106689, 6.000000, 0.600000, 
1704475969033086187, 1704475969133580830, 0.549010, 0.200133, 0.104492, 6.000000, 0.600000, 
1704475969133580830, 1704475969232802030, 0.561033, 0.215454, 0.105468, 7.000000, 0.700000, 
1704475969232802030, 1704475969333124586, 0.585814, 0.230041, 0.111206, 7.000000, 0.700000, 
1704475969333124586, 1704475969433496655, 0.571532, 0.223022, 0.106811, 6.000000, 0.600000, 
1704475969433496655, 1704475969532742629, 0.536742, 0.190368, 0.104004, 7.000000, 0.700000, 
1704475969532742629, 1704475969633114852, 0.562315, 0.207885, 0.108948, 6.000000, 0.600000, 
1704475969633114852, 1704475969733514976, 0.542907, 0.193298, 0.104736, 6.000000, 0.600000, 
1704475969733514976, 1704475969832732655, 0.542234, 0.197143, 0.104553, 6.000000, 0.600000, 
1704475969832732655, 1704475969933067341, 0.556029, 0.205261, 0.107787, 6.000000, 0.600000, 
1704475969933067341, 1704475970033436052, 0.564940, 0.211608, 0.103699, 6.000000, 0.600000, 
1704475970033436052, 1704475970132663660, 0.546691, 0.200073, 0.108703, 6.000000, 0.600000, 
1704475970132663660, 1704475970233031049, 0.549986, 0.202209, 0.108215, 6.000000, 0.600000, 
1704475970233031049, 1704475970333359542, 0.532408, 0.177184, 0.103271, 6.000000, 0.600000, 
1704475970333359542, 1704475970433692483, 0.571959, 0.221802, 0.109192, 6.000000, 0.600000, 
1704475970433692483, 1704475970533054658, 0.542663, 0.197326, 0.107178, 6.000000, 0.600000, 
1704475970533054658, 1704475970633332402, 0.539732, 0.185241, 0.105346, 6.000000, 0.600000, 
1704475970633332402, 1704475970733701113, 0.549742, 0.200256, 0.106689, 6.000000, 0.600000, 
1704475970733701113, 1704475970833068482, 0.561278, 0.210082, 0.107544, 7.000000, 0.700000, 
1704475970833068482, 1704475970933384960, 0.615294, 0.267273, 0.116577, 8.000000, 0.800000, 
1704475970933384960, 1704475971033709020, 0.656432, 0.307311, 0.115417, 9.000000, 0.900000, 
1704475971033709020, 1704475971133077686, 0.648680, 0.301391, 0.115112, 9.000000, 0.900000, 
1704475971133077686, 1704475971233352635, 0.674497, 0.318785, 0.114501, 9.000000, 0.900000, 
1704475971233352635, 1704475971333683719, 0.642272, 0.292785, 0.113770, 9.000000, 0.900000, 
1704475971333683719, 1704475971432965518, 0.709715, 0.364318, 0.113098, 9.000000, 0.900000, 
1704475971432965518, 1704475971533330536, 0.582518, 0.226562, 0.106445, 8.000000, 0.800000, 
1704475971533330536, 1704475971633741575, 0.554075, 0.205017, 0.103149, 7.000000, 0.700000, 
1704475971633741575, 1704475971733106672, 0.532103, 0.185546, 0.105773, 6.000000, 0.600000, 
1704475971733106672, 1704475971833378705, 0.556823, 0.202514, 0.108765, 6.000000, 0.600000, 
1704475971833378705, 1704475971933694661, 0.567015, 0.218628, 0.112182, 6.000000, 0.600000, 
1704475971933694661, 1704475972033037833, 0.554015, 0.207336, 0.105163, 6.000000, 0.600000, 
1704475972033037833, 1704475972133384518, 0.579405, 0.225402, 0.109497, 6.000000, 0.600000, 
